,City,Latitude,Longitude
1001406,stockport,53.4,-2.15
2924873,bridgeport,41.1669444,-73.2052778
1080247,choloma,15.6166667,-87.95
1534656,kariya,34.983333,136.983333
1274715,sidoarjo,-7.4478,112.7183
2025612,amersfoort,52.156022,5.389526
1908032,san luis rio colorado,32.463056,-114.776667
1342582,kumbakonam,10.966667,79.383333
1335325,habra,22.834444,88.6275
419814,altay,47.866667,88.116667
2913974,peoria,33.5805556,-112.2366667
1992520,gbongan,7.466667,4.35
1335448,haldwani,29.216667,79.516667
1897624,piedras negras,28.7,-100.516667
732352,darmstadt,49.870556,8.649444
2181546,gojra,31.148744,72.686556
2171771,dadu,26.732865,67.776306
646394,yushan,31.377623,120.954305
1360901,vidisha,23.533333,77.816667
1336010,hazaribag,23.983333,85.35
998935,peterborough,52.583333,-0.25
399512,man,7.412513,-7.55383
1343263,lakhimpur,27.95,80.766667
3020552,sioux falls,43.55,-96.7
3055696,termiz,37.2241667,67.2783333
565411,sanbu,22.36078,112.688088
2919939,hayward,37.6688889,-122.0797222
2061832,ayacucho,-13.1583333,-74.2238889
1338374,kaithal,29.8,76.383333
3132305,nigel,-26.431376,28.477132
2924062,lakewood,39.7047222,-105.0808333
1318520,bene beraq,32.090278,34.839722
473761,gongzhuling,43.507222,124.812222
1428960,ilam,33.6374,46.4227
1166399,cisaat,-6.775278,106.771389
309105,paranagua,-25.516667,-48.5
3027545,grand prairie,32.7458333,-96.9975
1099778,rijeka,45.3430556,14.4091667
282003,potosi,-19.5836111,-65.7530556
2204149,khuzdar,27.738385,66.643365
1863423,carmen,18.633333,-91.833333
988347,bolton,53.583333,-2.433333
1546315,yonago,35.433333,133.333333
301000,ibirite,-20.033333,-44.066667
1324532,balurghat,25.216667,88.766667
1824410,myingyan,21.4666667,95.3833333
2034153,zaanstad,52.45,4.833333
2992163,syracuse,43.0480556,-76.1477778
503429,jieshou,33.25,115.35
689708,ciego de avila,21.84,-78.7619444
872542,logrono,42.466667,-2.45
3128287,kimberley,-28.732262,24.762315
916561,aix-en-provence,43.528695,5.448791
505026,jinhua,29.107778,119.654722
2575262,abha,18.216389,42.505278
208758,nawabganj,24.6,88.2833333
2202500,khanpur,28.645338,70.656702
187624,tuzla,44.5427778,18.6694444
2954452,metairie,29.9838889,-90.1527778
2279534,rybnik,50.092076,18.547479
129279,comodoro rivadavia,-45.864135,-67.496558
2418533,khimki,55.897037,37.429687
997398,middlesbrough,54.572778,-1.162778
2361090,almetyevsk,54.904424,52.315397
2499599,pyatigorsk,44.048611,43.059444
2125628,legaspi,13.1387,123.7353
1327008,bhimavaram,16.533333,81.533333
304990,macae,-22.383333,-41.783333
1017646,cape coast,5.1,-1.25
25037,gazni,33.550833,68.4225
405334,calama,-22.466667,-68.933333
770427,paderborn,51.716667,8.766667
988193,blackpool,53.816667,-3.05
1518086,ravenna,44.4175,12.201111
2130989,marawi,7.998611,124.292778
304941,luziania,-16.25,-47.933333
3056566,acarigua,9.5597222,-69.2019444
1545405,urayasu,35.670556,139.888611
1545404,urayasu,35.663338,139.908548
994765,ipswich,52.083333,1.166667
1174073,dumai,1.683333,101.45
1540786,otaru,43.189444,141.002222
1510727,foggia,41.45,15.566667
2940129,naperville,41.7858333,-88.1472222
1026554,teshie,5.5833333,-0.1
390651,abengourou,6.729722,-3.496389
1644393,ekibastuz,51.666667,75.366667
1518933,salerno,40.683333,14.783333
357526,goma,-1.679167,29.222778
1181965,gorontalo,0.5412,123.0595
1004163,york,53.954115,-1.064262
504049,jinchang,38.495278,102.173889
2395448,elektrostal,55.789593,38.446711
413967,kumba,4.6438889,9.4386111
1201566,kebumen,-7.323333,109.600833
2921529,pasadena,34.1477778,-118.1436111
419293,acheng,45.545452,126.977031
3029392,pasadena,29.6908333,-95.2088889
1857366,acuna,29.3,-100.916667
746211,heidelberg,49.416667,8.7
1805984,sikasso,11.3166667,-5.6666667
2928758,hollywood,26.0108333,-80.1497222
2757439,khujand,40.28,69.6316667
2025689,arnhem,51.979818,5.925636
2922800,torrance,33.8358333,-118.3397222
1526396,spanish town,17.9833333,-76.95
3005368,eugene,44.0522222,-123.0855556
2858296,tabora,-5.0166667,32.8
771948,potsdam,52.4,13.066667
146657,salzburg,47.8,13.033333
590936,taicheng,22.251347,112.779904
1325755,batala,31.818611,75.202778
1162607,cikampek,-6.419722,107.455833
427293,beian,48.266667,126.6
1941454,pasir gudang,1.462,103.9053
1354598,saharsa,25.883333,86.6
1355648,sasaram,24.95,84.033333
3132892,orkney,-26.980232,26.672717
305628,maraba,-5.35,-49.116667
869554,huelva,37.271447,-6.949464
798212,odense,55.393475,10.394935
1342325,krishnanagar,23.4,88.5
479874,hanzhong,33.072778,107.030278
563032,qujing,25.483333,103.783333
1868221,cuautla,18.8,-98.95
2279130,ruda slaska,50.307941,18.855156
2765952,afyonkarahisar,38.756667,30.543333
1641961,atyrau,47.116667,51.883333
311131,pocos de caldas,-21.8,-46.566667
694187,matanzas,23.0411111,-81.5775
1512734,leghorn,43.55,10.316667
3085528,cam ranh,11.9,109.15
1322590,ambala,30.378333,76.780833
2903221,gulu,2.7666667,32.3055556
2339062,targu-mures,46.55,24.566667
1159630,cianjur,-6.822222,107.139444
2464803,nakhodka,42.833333,132.894722
3006000,salem,44.9430556,-123.0338889
2045837,trondheim,63.416667,10.416667
3085037,buon me thuot,12.666667,108.05
359252,kalemie,-5.933333,29.2
263132,manama,26.2361111,50.5830556
2132951,naga,13.6232,123.1841
1333055,erode,11.35,77.733333
307717,nilopolis,-22.808487,-43.419792
948019,le mans,48.000386,0.204709
1543878,tama,35.643599,139.468436
1305522,waru,-7.36,112.724722
2751080,khon kaen,16.446711,102.832999
1473986,rafsanjan,30.4067,55.9939
2425883,kolomna,55.079444,38.778333
819111,medea,36.2675,2.75
2028252,haarlem,52.366667,4.65
484257,honggang,46.466667,124.866667
3036811,hampton,37.0297222,-76.3455556
1135804,astanajapura,-6.8017,108.6311
3090720,hong gai,20.951111,107.08
588798,sujiatun,41.659167,123.339167
1325147,barakpur,22.761389,88.371944
3062372,el limon,10.3091667,-67.6325
1537852,moriguchi,34.733333,135.566667
443706,chizhou,30.657778,117.483056
105669,gyumri,40.7894444,43.8475
2070940,huanuco,-9.9166667,-76.2333333
1327338,bid,18.983333,75.766667
645320,yulin,22.633333,110.15
3137894,chingola,-12.5333333,27.85
2922080,salinas,36.6777778,-121.6544444
462337,dunhua,43.3725,128.2425
292623,camaragibe,-8.016667,-34.966667
994491,huddersfield,53.65,-1.783333
2349324,kragujevac,44.016667,20.916667
1540385,ome,35.783889,139.243056
1229106,metro,-5.113056,105.306667
2850450,yangmei,24.9166667,121.1333333
1356282,shantipur,23.25,88.466667
1358439,tambaram,12.927222,80.110556
3135958,vryheid,-27.76952,30.791653
999150,poole,50.716667,-2.0
2366810,balashikha,55.809452,37.958055
1260331,purwodadi,-7.0868,110.9158
2023943,leon,12.4355556,-86.8794444
309239,parnamirim,-5.916667,-35.25
405750,chillan,-36.6,-72.116667
1360989,virar,19.466667,72.8
154465,geelong,-38.153461,144.358093
2978403,springfield,37.2152778,-93.2980556
495224,huangyan,28.647778,121.259444
1764366,balti,47.761667,27.928889
923666,brest,48.390756,-4.486165
